,source,target,start_timestamp,end_timestamp,trace_label,trace_id,latency,http_status,trace_start_timestamp,trace_end_timestamp
0,gateway,contacts,1571634010325232.0,1571634010331806.0,0,a4a22105f79a04cbeb196fb5fa94e9ae,6574.0,2,1571634010325232.0,1571634010331806.0
1,gateway,contacts,1571634010475061.0,1571634010481021.0,0,3ed56c9fb1c94ceb39da037d12d36b38,5960.0,2,1571634010475061.0,1571634010481021.0
2,gateway,contacts,1571634010771492.0,1571634010777379.0,0,dd4d4a9a578860d93f86829a054100a4,5887.0,2,1571634010771492.0,1571634010777379.0
3,gateway,contacts,1571634010777596.0,1571634010784006.0,0,69f7a3035c000cbfafc0ebe258b497ec,6410.0,2,1571634010777596.0,1571634010784006.0
4,gateway,auth,1571634009571795.0,1571634010828243.0,0,5e8b5be4f085c39ceb83116a8f8f214a,1256448.0,2,1571634009571795.0,1571634010828243.0
5,gateway,contacts,1571634010828077.0,1571634010833602.0,0,67786ec3f23f128cb1809047fbc7d866,5525.0,2,1571634010828077.0,1571634010833602.0
6,gateway,cancel,1571634031805423.0,1571634031815853.0,0,5eeb58a22dfb810f720b83ee24d9ed75,10430.0,2,1571634031805423.0,1571634031815853.0
7,gateway,auth,1571634047474205.0,1571634047996255.0,0,56fa27954801216026482d453d008e8a,522050.0,2,1571634047474205.0,1571634047996255.0
8,gateway,verification-code,1571634011555234.0,1571634011558409.0,0,8ed357a0917060199682239bd195a48b,3175.0,2,1571634011555234.0,1571634011558409.0
9,gateway,verification-code,1571634011627461.0,1571634011631164.0,0,8af3b9f1e80b968487343a9841659ac3,3703.0,2,1571634011627461.0,1571634011631164.0
10,gateway,verification-code,1571634011708103.0,1571634011711899.0,0,092e549c883bc5cc7120080441bceef3,3796.0,2,1571634011708103.0,1571634011711899.0
11,gateway,assurance,1571634011595003.0,1571634011749465.0,1,c58433a345aa80c48109288a4916e2b2,154462.0,2,1571634011595003.0,1571634011749465.0
12,gateway,verification-code,1571634011823513.0,1571634011826294.0,0,2efd45abb80a8abcafd11035b5017d3d,2781.0,2,1571634011823513.0,1571634011826294.0
13,gateway,verification-code,1571634011986974.0,1571634011989518.0,0,206ef6cd81c550efe3e5830d85cedbc5,2544.0,2,1571634011986974.0,1571634011989518.0
14,basic,price,1571634134381302.0,1571634134386647.0,1,2635e49668871c61912f0559c55c0c33,5345.0,2,1571634012187243.0,1571634134386647.0
15,travel,train,1571634115434001.0,1571634115440662.0,1,2635e49668871c61912f0559c55c0c33,6661.0,2,1571634012187243.0,1571634134386647.0
16,travel,route,1571634110451679.0,1571634110457674.0,1,2635e49668871c61912f0559c55c0c33,5995.0,2,1571634012187243.0,1571634134386647.0
17,travel,route,1571634110070367.0,1571634110076219.0,1,2635e49668871c61912f0559c55c0c33,5852.0,2,1571634012187243.0,1571634134386647.0
18,travel,train,1571634109275331.0,1571634109282388.0,1,2635e49668871c61912f0559c55c0c33,7057.0,2,1571634012187243.0,1571634134386647.0
19,travel,route,1571634109003434.0,1571634109008901.0,1,2635e49668871c61912f0559c55c0c33,5467.0,2,1571634012187243.0,1571634134386647.0
20,preserve,assurance,1571634106818236.0,1571634107060996.0,1,2635e49668871c61912f0559c55c0c33,242760.0,2,1571634012187243.0,1571634134386647.0
21,basic,train,1571634101854907.0,1571634101860919.0,1,2635e49668871c61912f0559c55c0c33,6012.0,2,1571634012187243.0,1571634134386647.0
22,basic,route,1571634100788347.0,1571634100793770.0,1,2635e49668871c61912f0559c55c0c33,5423.0,2,1571634012187243.0,1571634134386647.0
23,travel,order,1571634092084777.0,1571634092181674.0,1,2635e49668871c61912f0559c55c0c33,96897.0,2,1571634012187243.0,1571634134386647.0
24,preserve,order,1571634091519223.0,1571634091526588.0,1,2635e49668871c61912f0559c55c0c33,7365.0,2,1571634012187243.0,1571634134386647.0
25,preserve,seat,1571634090443294.0,1571634090482528.0,1,2635e49668871c61912f0559c55c0c33,39234.0,2,1571634012187243.0,1571634134386647.0
26,basic,station,1571634089384343.0,1571634089443446.0,1,2635e49668871c61912f0559c55c0c33,59103.0,2,1571634012187243.0,1571634134386647.0
27,basic,station,1571634088974361.0,1571634088980132.0,1,2635e49668871c61912f0559c55c0c33,5771.0,2,1571634012187243.0,1571634134386647.0
28,basic,station,1571634088954239.0,1571634088959185.0,1,2635e49668871c61912f0559c55c0c33,4946.0,2,1571634012187243.0,1571634134386647.0
29,preserve,travel,1571634084282273.0,1571634084806298.0,1,2635e49668871c61912f0559c55c0c33,524025.0,2,1571634012187243.0,1571634134386647.0
30,preserve,food,1571634076646478.0,1571634076660875.0,1,2635e49668871c61912f0559c55c0c33,14397.0,2,1571634012187243.0,1571634134386647.0
31,basic,station,1571634071328666.0,1571634071333794.0,1,2635e49668871c61912f0559c55c0c33,5128.0,2,1571634012187243.0,1571634134386647.0
32,basic,station,1571634071210493.0,1571634071215087.0,1,2635e49668871c61912f0559c55c0c33,4594.0,2,1571634012187243.0,1571634134386647.0
33,basic,station,1571634068524086.0,1571634068529257.0,1,2635e49668871c61912f0559c55c0c33,5171.0,2,1571634012187243.0,1571634134386647.0
34,basic,station,1571634066839071.0,1571634066844042.0,1,2635e49668871c61912f0559c55c0c33,4971.0,2,1571634012187243.0,1571634134386647.0
35,basic,station,1571634065178643.0,1571634065184198.0,1,2635e49668871c61912f0559c55c0c33,5555.0,2,1571634012187243.0,1571634134386647.0
36,basic,station,1571634064456011.0,1571634064461350.0,1,2635e49668871c61912f0559c55c0c33,5339.0,2,1571634012187243.0,1571634134386647.0
37,preserve,notification,1571634060502857.0,1571634060757616.0,1,2635e49668871c61912f0559c55c0c33,254759.0,2,1571634012187243.0,1571634134386647.0
38,preserve,station,1571634054902268.0,1571634054906842.0,1,2635e49668871c61912f0559c55c0c33,4574.0,2,1571634012187243.0,1571634134386647.0
39,basic,station,1571634053221545.0,1571634053226890.0,1,2635e49668871c61912f0559c55c0c33,5345.0,2,1571634012187243.0,1571634134386647.0
40,basic,station,1571634049711853.0,1571634049716973.0,1,2635e49668871c61912f0559c55c0c33,5120.0,2,1571634012187243.0,1571634134386647.0
41,ticketinfo,basic,1571634038213001.0,1571634038231327.0,1,2635e49668871c61912f0559c55c0c33,18326.0,2,1571634012187243.0,1571634134386647.0
42,travel,ticketinfo,1571634035417800.0,1571634035429477.0,1,2635e49668871c61912f0559c55c0c33,11677.0,2,1571634012187243.0,1571634134386647.0
43,travel,ticketinfo,1571634034500711.0,1571634034546641.0,1,2635e49668871c61912f0559c55c0c33,45930.0,2,1571634012187243.0,1571634134386647.0
44,preserve,ticketinfo,1571634034442182.0,1571634034486691.0,1,2635e49668871c61912f0559c55c0c33,44509.0,2,1571634012187243.0,1571634134386647.0
45,travel,ticketinfo,1571634034443137.0,1571634034455312.0,1,2635e49668871c61912f0559c55c0c33,12175.0,2,1571634012187243.0,1571634134386647.0
46,travel,ticketinfo,1571634032995819.0,1571634033018571.0,1,2635e49668871c61912f0559c55c0c33,22752.0,2,1571634012187243.0,1571634134386647.0
47,travel,ticketinfo,1571634032688657.0,1571634032754583.0,1,2635e49668871c61912f0559c55c0c33,65926.0,2,1571634012187243.0,1571634134386647.0
48,travel,ticketinfo,1571634031235278.0,1571634031321474.0,1,2635e49668871c61912f0559c55c0c33,86196.0,2,1571634012187243.0,1571634134386647.0
49,ticketinfo,basic,1571634030263792.0,1571634030272457.0,1,2635e49668871c61912f0559c55c0c33,8665.0,2,1571634012187243.0,1571634134386647.0
50,ticketinfo,basic,1571634028869100.0,1571634028911585.0,1,2635e49668871c61912f0559c55c0c33,42485.0,2,1571634012187243.0,1571634134386647.0
51,ticketinfo,basic,1571634013783385.0,1571634013845874.0,1,2635e49668871c61912f0559c55c0c33,62489.0,2,1571634012187243.0,1571634134386647.0
52,ticketinfo,basic,1571634012187243.0,1571634012195842.0,1,2635e49668871c61912f0559c55c0c33,8599.0,2,1571634012187243.0,1571634134386647.0
53,order-other,station,1571634068523788.0,1571634068526339.0,1,902016a8c10307797656a3c2ecd98ce4,2551.0,2,1571634068523788.0,1571634068526339.0
54,security,order,1571634144657593.0,1571634144663867.0,1,dedecadf7b900fdbf4f9718bfd6fd67a,6274.0,2,1571634017900964.0,1571634144663867.0
55,basic,price,1571634134377602.0,1571634134382535.0,1,dedecadf7b900fdbf4f9718bfd6fd67a,4933.0,2,1571634017900964.0,1571634144663867.0
56,gateway,preserve,1571634112521578.0,1571634116338728.0,1,dedecadf7b900fdbf4f9718bfd6fd67a,3817150.0,2,1571634017900964.0,1571634144663867.0
57,preserve,contacts,1571634112438356.0,1571634112448855.0,1,dedecadf7b900fdbf4f9718bfd6fd67a,10499.0,2,1571634017900964.0,1571634144663867.0
58,travel,train,1571634111874946.0,1571634111888804.0,1,dedecadf7b900fdbf4f9718bfd6fd67a,13858.0,2,1571634017900964.0,1571634144663867.0
59,travel,route,1571634110309274.0,1571634110314258.0,1,dedecadf7b900fdbf4f9718bfd6fd67a,4984.0,2,1571634017900964.0,1571634144663867.0
60,basic,route,1571634107591999.0,1571634107598275.0,1,dedecadf7b900fdbf4f9718bfd6fd67a,6276.0,2,1571634017900964.0,1571634144663867.0
61,basic,station,1571634074658197.0,1571634074721078.0,1,dedecadf7b900fdbf4f9718bfd6fd67a,62881.0,2,1571634017900964.0,1571634144663867.0
